Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-10-25 12:00:00,11.2,50.7480619,30.4329076,21.4105685,21.0,72.2994822,103.4021337,0.0
2006-10-28 14:00:00,10.3,51.4948321,30.1090018,21.1147596,20.9,72.2753777,103.3511702,0.0
2006-10-28 16:00:00,11.7,50.6949043,30.4415078,21.3929247,21.2,72.145629,103.1882061,0.0
2006-10-29 06:00:00,11.9,51.114342,30.3268202,21.5487501,21.1,72.1819977,103.104948,0.0
2006-10-29 08:00:00,11.8,48.5794374,30.5301992,21.5136877,21.3,72.4666588,103.1540478,0.0
2006-10-29 10:00:00,11.7,45.8295704,29.8776783,21.4415904,21.0,72.4051066,103.1851581,0.0
2006-10-29 22:00:00,11.0,57.417925,28.8513727,20.6509736,20.6,71.8130979,103.2017599,0.0
2006-10-30 00:00:00,11.1,47.5632255,28.9020814,20.8777507,20.6,71.6975771,103.2313717,0.0
2006-10-30 02:00:00,11.0,54.2425574,29.3661429,20.9603362,20.5,71.7961317,103.2032113,0.0
2006-10-30 04:00:00,11.5,45.3080193,29.907587,20.9797961,20.5,71.6865849,103.1743496,0.0
2006-10-30 08:00:00,7.0,60.5580366,29.544095,20.9956398,20.1,71.5344839,103.0466116,0.0
2006-10-30 10:00:00,8.9,51.5889667,29.5384633,20.8136568,20.5,71.7546539,103.1583606,0.0
2006-10-30 12:00:00,11.4,52.5527469,30.3121567,20.8348103,20.1,71.6765191,103.1504689,0.0
2006-10-31 16:00:00,8.6,61.3800787,43.5249235,21.2606152,21.0,74.3025165,103.5131997,0.0
2006-10-31 18:00:00,6.4,73.8743503,39.8025626,21.5339914,21.3,74.3053533,103.1245109,0.0
2006-10-31 20:00:00,4.8,71.7219683,39.6657901,21.2859818,21.1,74.0908232,103.4569531,0.0
2006-10-31 22:00:00,3.9,73.6372449,41.729677,21.0126939,20.6,78.5974438,103.5702674,0.0
2006-11-01 00:00:00,3.2,67.3113782,42.4557661,21.4263839,21.1,77.0591762,104.7863985,0.0
2006-11-01 02:00:00,3.4,67.1378438,42.9194095,21.6120148,21.0,77.768329,103.3479348,0.0
2006-11-01 04:00:00,3.5,66.2888015,42.9264405,21.161978,21.0,78.035886,102.6059088,0.0
